DATE | LGE | LEFT | RIGHT | START | 1 | 2 | 3 | SERIES | TOTAL | GAMES | AVE | ------ | STRIKES | ------- | ------ | SPARES | ------ | --- | OPENS | ---
9-8-92 | BL | 11 | 12 | 11 | 225 | 177 | 258 | 660 | 660 | 3 | 220-00 | 20-33 | 20-33 | .606 | 11-11 | 11-11 | 1.000 | 2 | 2 | .933
9-15-92 | BL | 1 | 2 | 2 | 170 | 253 | 242 | 665 | 1325 | 6 | 220-05 | 19-33 | 39-66 | .591 | 7-9 | 18-20 | .900 | 4 | 6 | .900
9-22-92 | BL | 3 | 4 | 3 | 212 | 199 | 235 | 646 | 1971 | 9 | 219-00 | 19-35 | 58-101 | .574 | 12-13 | 30-33 | .909 | 2 | 8 | .911
9-29-92 | BL | 13 | 14 | 14 | 243 | 156 | 257 | 656 | 2627 | 12 | 218-11 | 21-34 | 79-135 | .585 | 7-8 | 37-41 | .902 | 3 | 11 | .908
10-6-92 | BL | 19 | 20 | 19 | 184 | 214 | 202 | 600 | 3227 | 15 | 215-02 | 16-33 | 95-168 | .565 | 13-14 | 50-55 | .909 | 4 | 15 | .900
10-13-92 | BL | 9 | 10 | 10 | 140 | 184 | 202 | 526 | 3753 | 18 | 208-09 | 12-34 | 107-202 | .530 | 13-14 | 63-69 | .913 | 6 | 21 | .883
10-20-92 | BL | 5 | 6 | 5 | 256 | 268 | 203 | 727 | 4480 | 21 | 213-07 | 22-35 | 129-237 | .544 | 9-9 | 72-78 | .923 | 1 | 22 | .895
10-27-92 | BL | 17 | 18 | 18 | 256 | 237 | 204 | 697 | 5177 | 24 | 215-17 | 21-34 | 150-271 | .554 | 11-12 | 83-90 | .922 | 1 | 23 | .
11-3-92 | BL | 7 | 8 | 7 | 245 | 244 | 199 | 688 | 5865 | 27 | 217-06 | 21-33 | 171-304 | .563 | 8-10 | 91-100 | .910 | 3 | 26 | .904
11-10-92 | BL | 11 | 12 | 12 | 196 | 200 | 221 | 617 | 6482 | 30 | 216-02 | 14-34 | 185-338 | .547 | 13-14 | 104-114 | .912 | 4 | 30 | .900
11-17-92 | BL | 11 | 12 | 11 | 200 | 243 | 267 | 710 | 7192 | 33 | 217-31 | 19-33 | 204-371 | .550 | 11-11 | 115-125 | .920 | - | 30 | .909
11-24-92 | BL | 5 | 6 | 6 | 246 | 199 | 190 | 635 | 7827 | 36 | 217-15 | 21-34 | 225-405 | .556 | 6-8 | 121-133 | .910 | 6 | 36 | .900
12-1-92 | BL |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
12-8-92 | BL | 13 | 14 | 14 | 216 | 237 | 256 | 709 | 8536 | 39 | 218-34 | 25-35 | 250-440 | .568 | 9-9 | 130-142 | .915 | 1 | 37 | .905
12-15-92 | BL | 7 | 8 | 7 | 257 | 224 | 234 | 715 | 9251 | 42 | 220-11 | 22-35 | 272-475 | .573 | 11-11 | 141-153 | .922 | - | 37 | .912
