DATE | LGE | LANES | LANES | START | 1 | 2 | 3 | SERIES | TOTAL | GAMES | AVE | ------ | STRIKES | ------- | ------ | SPARES | ------ | --- | OPENS | ---
8-20-92 | YRK | 25 | 26 | 25 | 232 | 191 | 201 | 624 | 624 | 3 | 208-00 | 18-34 | 18-34 | .529 | 9-10 | 9-10 | .900 | 4 | 4 | .867
8-27-92 | YRK | 17 | 18 | 18 | 167 | 237 | 191 | 595 | 1219 | 6 | 203-01 | 18-32 | 36-66 | .545 | 6-12 | 15-22 | .682 | 7 | 11 | .817
9-3-92 | YRK | 21 | 22 | 21 | 214 | 238 | 178 | 630 | 1849 | 9 | 205-04 | 21-34 | 57-100 | .570 | 8-10 | 23-32 | .719 | 5 | 16 | .822
9-10-92 | YRK | 9 | 10 | 10 | 226 | 248 | 243 | 717 | 2566 | 12 | 213-10 | 22-34 | 79-134 | .590 | 8-9 | 31-41 | .756 | 1 | 17 | .858
9-17-92 | YRK | 29 | 30 | 29 | 213 | 267 | 208 | 688 | 3254 | 15 | 216-14 | 21-34 | 100-168 | .595 | 9-9 | 40-50 | .800 | 2 | 19 | .873
9-24-92 | YRK | 23 | 24 | 24 | 181 | 214 | 186 | 581 | 3835 | 18 | 213-01 | 15-32 | 115-200 | .575 | 10-13 | 50-63 | .794 | 5 | 24 | .867
10-1-92 | YRK | 11 | 12 | 11 | 226 | 216 | 250 | 692 | 4527 | 21 | 215-12 | 22-33 | 137-233 | .588 | 8-8 | 58-71 | .817 | 1 | 25 | .881
10-13-92 | YRK | 25 | 26 | 26 | 289 | 165 | 204 | 658 | 5185 | 24 | 216-01 | 23-34 | 160-267 | .599 | 4-7 | 62-78 | .795 | 6 | 31 | .871
10-15-92 | YRK | 19 | 20 | 19 | 203 | 246 | 203 | 652 | 5837 | 27 | 216-05 | 19-33 | 179-300 | .597 | 9-10 | 71-88 | .807 | 4 | 35 | .870
10-22-92 | YRK | 23 | 24 | 24 | 204 | 201 | 198 | 603 | 6440 | 30 | 214-20 | 17-35 | 196-335 | .585 | 13-16 | 84-104 | .808 | 3 | 38 | .873
10-29-92 | YRK | 21 | 22 | 21 | 199 | 247 | 183 | 629 | 7069 | 33 | 214-07 | 18-34 | 214-369 | .580 | 10-13 | 94-117 | .803 | 5 | 43 | .870
11-5-92 | YRK |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
11-12-92 | YRK | 17 | 18 | 17 | 184 | 230 | 267 | 681 | 7750 | 36 | 215-10 | 21-35 | 235-404 | .582 | 9-10 | 103-127 | .811 | 2 | 45 | .875
11-19-92 | YRK | 19 | 20 | 20 | 208 | 216 | 233 | 657 | 8407 | 39 | 215-22 | 19-34 | 254-438 | .580 | 14-14 | 117-141 | .830 | - | 45 | .885
12-3-92 | YRK | 15 | 16 | 15 | 256 | 265 | 210 | 731 | 9138 | 42 | 217-24 | 22-32 | 276-470 | .587 | 8-10 | 125-151 | .828 | 2 | 47 | .888
12-10-92 | YRK |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
12-17-92 | YRK | 11 | 12 | 11 | 193 | 170 | 205 | 568 | 9706 | 45 | 215-31 | 16-32 | 292-502 | .582 | 9-11 | 134-162 | .827 | 6 | 53 | .882
1-7-93 | YRK | 11 | 12 | 12 | 213 | 227 | 199 | 639 | 10345 | 48 | 215-25 | 20-34 | 312-536 | .582 | 7-7 | 141-169 | .834 | 3 | 56 | .883
1-14-93 | YRK | 13 | 14 | 13 | 227 | 267 | 151 | 645 | 10990 | 51 | 215-25 | 21-33 | 333-569 | .585 | 7-8 | 148-177 | .836 | 5 | 61 | .880
1-21-93 | YRK | 15 | 16 | 16 | 175 | 214 | 167 | 556 | 11546 | 54 | 213-44 | 12-34 | 345-603 | .572 | 13-13 | 161-190 | .847 | 5 | 66 | .878
1-28-93 | YRK | 27 | 28 | 27 | 158 | 197 | 216 | 571 | 12117 | 57 | 212-33 | 18-34 | 363-637 | .570 | 8-10 | 169-200 | .845 | 6 | 72 | .874
2-4-93 | YRK | 13 | 14 | 14 | 184 | 177 | 190 | 551 | 12668 | 60 | 211-08 | 12-32 | 375-669 | .561 | 12-12 | 181-212 | .854 | 5 | 77 | .872
2-11-93 | YRK | 11 | 12 | 11 | 174 | 191 | 198 | 563 | 13231 | 63 | 210-01 | 14-33 | 389-702 | .554 | 13-14 | 194-226 | .858 | 5 | 82 | .870
2-18-93 | YRK |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
2-25-93 | YRK |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
3-4-93 | YRK |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
3-11-93 | YRK |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
3-18-93 | YRK | 27 | 28 | 28 | 224 | 177 | 163 | 564 | 13795 | 66 | 209-01 | 15-35 | 404-737 | .548 | 10-15 | 204-241 | .846 | 6 | 88 | .867
3-25-93 | YRK | 15 | 16 | 15 | 182 | 217 | 191 | 590 | 14385 | 69 | 208-33 | 15-33 | 419-770 | .544 | 12-12 | 216-253 | .854 | 3 | 91 | .868
4-1-93 | YRK | 21 | 22 | 22 | 160 | 205 | 204 | 569 | 14954 | 72 | 207-50 | 14-34 | 433-804 | .539 | 14-17 | 230-270 | .852 | 4 | 95 | .868
4-8-93 | YRK | 29 | 30 | 29 | 202 | 169 | 241 | 612 | 15566 | 75 | 207-41 | 19-33 | 452-837 | .540 | 7-7 | 237-277 | .856 | 3 | 98 | .869
4-15-93 | YRK | 13 | 14 | 14 | 267 | 209 | 225 | 701 | 16267 | 78 | 208-43 | 22-33 | 474-870 | .545 | 9-9 | 246-286 | .860 | 1 | 99 | .873
4-22-93 | YRK | 25 | 26 | 25 | 151 | 235 | 216 | 602 | 16869 | 81 | 208-21 | 19-35 | 493-905 | .545 | 10-13 | 256-299 | .856 | 6 | 105 | .870
4-29-93 | YRK | 17 | 18 | 18 | 236 | 188 | 263 | 687 | 17556 | 84 | 209-00 | 21-34 | 514-939 | .547 | 7-9 | 263-308 | .854 | 4 | 109 | .870
5-6-93 | YRK | 21 | 22 | 21 | 198 | 163 | 211 | 572 | 18128 | 87 | 208-32 | 14-33 | 528-972 | .543 | 11-12 | 274-320 | .856 | 4 | 113 | .870
5-13-93 | YRK-P | 27 | 28 | 28 | 176 | 184 | 176 | 536 | 18664 | 90 | 207-34 | 13-34 | 541-1006 | .538 | 13-16 | 287-336 | .854 | 6 | 119 | .868
 |  |  |  |  | 6122 | 6371 | 6171 |  | - |  |  | 18.0-33.5 |  |  | 9.6-11.2 |  |  | 4 |  | 
 |  |  |  |  | (30) | 204 | 212 | 206 | 622 |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  | HIGH: | 289 | 267 | 267 | 731 |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  | LOW: | 151 | 163 | 151 | 536 |  |  |  |  |  |  |  |  |  |  | 
