DATE | LGE | LEFT | RIGHT | START | GAME-1 | GAME-2 | GAME-3 | SERIES | TOTAL | GAMES | AVERAGE | STRIKES | TOTAL | AVERAGE | SPARES | TOTAL | AVERAGE | OPENS | TOTAL | AVERAGE
8-20-92 | YRK | 25 | 26 | 25 | 232 | 191 | 201 | 624 | 624 | 3 | 208-00 | 18-34 | 18-34 | .529 | 9-10 | 9-10 | .900 | 4 | 4 | .867
8-27-92 | YRK | 17 | 18 | 18 | 167 | 237 | 191 | 595 | 1219 | 6 | 203-01 | 18-32 | 36-66 | .545 | 6-12 | 15-22 | .682 | 7 | 11 | .817
9-3-92 | YRK | 21 | 22 | 21 | 214 | 238 | 178 | 630 | 1849 | 9 | 205-04 | 21-34 | 57-100 | .570 | 8-10 | 23-32 | .719 | 5 | 16 | .822
9-8-92 | BL | 11 | 12 | 12 | 225 | 177 | 258 | 660 | 2509 | 12 | 209-01 | 20-33 | 77-133 | .579 | 11-11 | 34-43 | .791 | 2 | 18 | .850
9-10-92 | YRK | 9 | 10 | 9 | 226 | 248 | 243 | 717 | 3226 | 15 | 215-01 | 22-34 | 99-167 | .593 | 8-9 | 42-52 | .808 | 1 | 19 | .873
9-15-92 | BL | 1 | 2 | 2 | 170 | 253 | 242 | 665 | 3891 | 18 | 216-03 | 19-33 | 118-200 | .590 | 7-9 | 49-61 | .803 | 4 | 23 | .872
9-17-92 | YRK | 29 | 30 | 29 | 213 | 267 | 208 | 688 | 4579 | 21 | 218-01 | 21-34 | 139-234 | .594 | 9-9 | 58-70 | .829 | 2 | 25 | .881
9-22-92 | BL | 3 | 4 | 4 | 212 | 199 | 235 | 646 | 5225 | 24 | 217-17 | 19-35 | 158-269 | .587 | 12-13 | 70-83 | .843 | 2 | 27 | .888
9-24-92 | YRK | 23 | 24 | 23 | 181 | 214 | 186 | 581 | 5806 | 27 | 215-01 | 15-32 | 173-301 | .575 | 10-13 | 80-96 | .833 | 5 | 32 | .880
9-29-92 | BL | 13 | 14 | 14 | 243 | 156 | 257 | 656 | 6462 | 30 | 215-12 | 21-34 | 194-335 | .579 | 7-8 | 87-104 | .837 | 3 | 35 | .883
10-1-92 | YRK | 11 | 12 | 11 | 226 | 216 | 250 | 692 | 7154 | 33 | 216-26 | 22-33 | 216-368 | .587 | 8-8 | 95-112 | .848 | 1 | 36 | .891
10-6-92 | BL | 19 | 20 | 20 | 184 | 214 | 202 | 600 | 7754 | 36 | 215-14 | 16-33 | 232-401 | .579 | 13-14 | 108-126 | .857 | 4 | 40 | .889
10-8-92 | YRK | 25 | 26 | 25 | 289 | 165 | 204 | 658 | 8412 | 39 | 215-27 | 23-34 | 255-435 | .586 | 4-7 | 112-133 | .842 | 6 | 46 | .882
10-13-92 | BL | 9 | 10 | 10 | 140 | 184 | 202 | 526 | 8938 | 42 | 212-34 | 12-34 | 267-469 | .569 | 13-14 | 125-147 | .850 | 6 | 52 | .876
10-15-92 | YRK | 19 | 20 | 19 | 203 | 246 | 203 | 652 | 9590 | 45 | 213-05 | 19-33 | 286-502 | .570 | 9-10 | 135-157 | .860 | 4 | 56 | .876
10-20-92 | BL | 5 | 6 | 6 | 256 | 268 | 203 | 727 | 10317 | 48 | 214-45 | 22-35 | 308-537 | .574 | 9-9 | 144-166 | .867 | 1 | 57 | .881
10-22-92 | YRK | 23 | 24 | 23 | 204 | 201 | 198 | 603 | 10920 | 51 | 214-06 | 17-35 | 325-572 | .568 | 13-16 | 157-182 | .863 | 3 | 60 | .882
10-27-92 | BL | 17 | 18 | 18 | 256 | 237 | 204 | 697 | 11617 | 54 | 215-07 | 21-34 | 346-606 | .571 | 11-12 | 168-194 | .866 | 1 | 61 | .887
10-29-92 | YRK | 21 | 22 | 21 | 199 | 247 | 183 | 629 | 12246 | 57 | 214-48 | 18-34 | 364-640 | .569 | 10-13 | 178-207 | .860 | 5 | 66 | .884
11-3-92 | BL | 7 | 8 | 8 | 245 | 244 | 199 | 688 | 12934 | 60 | 215-34 | 21-33 | 385-673 | .572 | 8-10 | 186-217 | .857 | 3 | 69 | .885
11-5-92 | YRK |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
11-10-92 | BL | 11 | 12 | 12 | 196 | 200 | 221 | 617 | 13551 | 63 | 215-06 | 14-34 | 399-707 | .564 | 13-14 | 199-231 | .861 | 4 | 73 | .884
11-12-92 | YRK | 17 | 18 | 17 | 184 | 230 | 267 | 681 | 14232 | 66 | 215-52 | 21-35 | 420-742 | .566 | 9-10 | 208-241 | .863 | 2 | 75 | .886
11-17-92 | BL | 18 | 19 | 19 | 200 | 243 | 267 | 710 | 14942 | 69 | 216-38 | 19-33 | 439-775 | .566 | 11-11 | 219-252 | .869 | - | 75 | .891
11-19-92 | YRK | 19 | 20 | 19 | 208 | 216 | 233 | 657 | 15599 | 72 | 216-47 | 19-34 | 458-809 | .566 | 14-14 | 233-266 | .876 | - | 75 | .896
11-24-92 | BL | 5 | 6 | 6 | 246 | 199 | 190 | 635 | 16234 | 75 | 216-34 | 21-34 | 479-843 | .568 | 6-8 | 239-274 | .872 | 6 | 81 | .892
12-1-92 | BL |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
12-3-92 | YRK | 15 | 16 | 16 | 256 | 265 | 210 | 731 | 16965 | 78 | 217-39 | 22-32 | 501-875 | .572 | 8-10 | 247-284 | .870 | 2 | 83 | .894
12-8-92 | BL | 13 | 14 | 13 | 216 | 237 | 256 | 709 | 17674 | 81 | 218-16 | 25-35 | 526-910 | .578 | 9-9 | 256-293 | .874 | 1 | 84 | .896
12-10-92 | YRK |  |  | 0 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
12-15-92 | BL | 7 | 8 | 7 | 257 | 224 | 234 | 715 | 18389 | 84 | 218-77 | 22-35 | 548-945 | .580 | 11-11 | 267-304 | .878 | - | 84 | .900
12-17-92 | YRK | 11 | 12 | 12 | 193 | 170 | 205 | 568 | 18957 | 87 | 217-78 | 16-32 | 564-977 | .577 | 9-11 | 276-315 | .876 | 6 | 90 | .897
12-22-92 | BL | 7 | 8 | 7 | 169 | 213 | 187 | 569 | 19526 | 90 | 216-86 | 16-34 | 580-1011 | .574 | 11-15 | 287-330 | .870 | 6 | 96 | .893
12-29-92 | BL | 11 | 12 | 12 | 206 | 177 | 223 | 606 | 20132 | 93 | 216-44 | 17-32 | 597-1043 | .572 | 10-10 | 297-340 | .874 | 4 | 100 | .892
1-5-93 | BL | 3 | 4 | 3 | 186 | 213 | 181 | 580 | 20712 | 96 | 215-72 | 11-33 | 608-1076 | .565 | 19-20 | 316-360 | .878 | 2 | 102 | .894
1-7-93 | YRK | 11 | 12 | 12 | 213 | 227 | 199 | 639 | 21351 | 99 | 215-66 | 20-34 | 628-1110 | .566 | 7-7 | 323-367 | .880 | 3 | 105 | .894
1-12-93 | BL | 9 | 10 | 9 | 173 | 202 | 162 | 537 | 21888 | 102 | 214-60 | 14-32 | 642-1142 | .562 | 7-11 | 330-378 | .873 | 9 | 114 | .888
1-14-93 | YRK | 13 | 14 | 14 | 227 | 267 | 151 | 645 | 22533 | 105 | 214-63 | 21-33 | 663-1175 | .564 | 7-8 | 337-386 | .873 | 5 | 119 | .887
1-19-93 | BL | 11 | 12 | 11 | 237 | 211 | 184 | 632 | 23165 | 108 | 214-53 | 17-33 | 680-1208 | .563 | 12-12 | 349-398 | .877 | 1 | 120 | .889
1-22-93 | YRK | 15 | 16 | 16 | 175 | 214 | 167 | 556 | 23721 | 111 | 213-78 | 12-34 | 692-1242 | .557 | 13-13 | 362-411 | .881 | 5 | 125 | .887
1-26-93 | BL | 7 | 8 | 7 | 194 | 234 | 225 | 653 | 24374 | 114 | 213-92 | 16-33 | 708-1275 | .555 | 13-15 | 375-426 | .880 | 2 | 127 | .889
1-28-93 | YRK | 27 | 28 | 28 | 158 | 197 | 216 | 571 | 24945 | 117 | 213-24 | 18-34 | 726-1309 | .555 | 7-9 | 382-435 | .878 | 6 | 133 | .886
2-2-93 | BL | 1 | 2 | 1 | 183 | 152 | 200 | 535 | 25480 | 120 | 212-40 | 13-34 | 739-1343 | .550 | 8-9 | 390-444 | .878 | 8 | 141 | .883
2-4-93 | YRK | 13 | 14 | 14 | 184 | 177 | 190 | 551 | 26031 | 123 | 211-78 | 12-32 | 751-1375 | .546 | 12-12 | 402-456 | .882 | 5 | 146 | .881
2-9-93 | BL | 11 | 12 | 11 | 233 | 256 | 206 | 695 | 26726 | 126 | 212-14 | 22-35 | 773-1410 | .548 | 9-9 | 411-465 | .884 | 1 | 147 | .883
2-11-93 | YRK | 11 | 12 | 12 | 174 | 191 | 198 | 563 | 27289 | 129 | 211-70 | 14-33 | 787-1443 | .545 | 13-14 | 424-479 | .885 | 5 | 152 | .882
2-16-93 | BL |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
2-18-93 | YRK |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
2-23-93 | BL |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
2-25-93 | YRK |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
3-2-93 | BL |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
3-4-93 | YRK |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
3-9-93 | BL |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
3-11-93 | YRK |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
3-16-93 | BL |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
3-18-93 | YRK | 27 | 28 | 28 | 224 | 177 | 163 | 564 | 27852 | 132 | 211-01 | 15-35 | 802-1478 | .543 | 10-15 | 434-494 | .879 | 6 | 158 | .880
3-23-93 | BL | 17 | 18 | 17 | 203 | 176 | 202 | 581 | 28434 | 135 | 210-84 | 14-31 | 816-1509 | .541 | 10-14 | 444-507 | .876 | 6 | 164 | .879
3-25-93 | YRK | 15 | 16 | 16 | 182 | 217 | 191 | 590 | 29024 | 138 | 210-44 | 15-33 | 831-1542 | .539 | 12-12 | 456-519 | .879 | 3 | 167 | .879
3-30-93 | BL | 15 | 16 | 15 | 228 | 205 | 213 | 646 | 29670 | 141 | 210-60 | 20-32 | 851-1573 | .541 | 9-11 | 465-530 | .877 | 3 | 170 | .879
4-1-93 | YRK | 21 | 22 | 22 | 160 | 205 | 204 | 569 | 30239 | 144 | 209-143 | 14-34 | 865-1607 | .538 | 14-17 | 479-547 | .876 | 4 | 174 | .879
4-6-93 | BL | 25 | 26 | 25 | 200 | 196 | 170 | 566 | 30805 | 147 | 209-82 | 13-33 | 878-1640 | .535 | 14-15 | 493-562 | .877 | 3 | 177 | .880
4-8-93 | YRK | 29 | 30 | 30 | 202 | 169 | 241 | 612 | 31417 | 150 | 209-67 | 19-33 | 897-1673 | .536 | 7-7 | 500-569 | .879 | 3 | 180 | .880
4-13-93 | BL | 7 | 8 | 7 | 241 | 258 | 224 | 723 | 32140 | 153 | 210-10 | 23-34 | 920-1707 | .539 | 8-8 | 508-577 | .880 | 1 | 181 | .882
4-15-93 | YRK | 13 | 14 | 14 | 267 | 209 | 225 | 701 | 32841 | 156 | 210-81 | 22-33 | 942-1740 | .541 | 9-9 | 517-586 | .882 | 1 | 182 | .883
4-20-93 | BL | 9 | 10 | 9 | 196 | 196 | 226 | 618 | 33459 | 159 | 210-69 | 19-35 | 961-1775 | .541 | 12-13 | 529-599 | .883 | 2 | 184 | .884
4-22-93 | YRK | 25 | 26 | 26 | 151 | 235 | 216 | 602 | 34061 | 162 | 210-41 | 19-35 | 980-1810 | .541 | 10-13 | 539-612 | .881 | 6 | 190 | .883
4-27-93 | BL | 11 | 12 | 11 | 156 | 228 | 228 | 612 | 34673 | 165 | 210-23 | 19-34 | 999-1844 | .542 | 9-9 | 548-621 | .882 | 6 | 196 | .881
4-29-93 | YRK | 17 | 18 | 18 | 236 | 188 | 263 | 687 | 35360 | 168 | 210-80 | 21-34 | 1020-1878 | .543 | 7-9 | 555-630 | .881 | 4 | 200 | .881
5-4-93 | BL-P | 5 | 6 | 5 | 196 | 190 | 231 | 617 | 35977 | 171 | 210-67 | 16-34 | 1036-1912 | .542 | 14-16 | 569-646 | .881 | 2 | 202 | .882
5-5-93 | BL-P | 9 | 10 | 10 | 193 | 236 | 212 | 641 | 36618 | 174 | 210-78 | 20-35 | 1056-1947 | .542 | 11-13 | 580-659 | .880 | 3 | 205 | .882
5-6-93 | YRK | 21 | 22 | 21 | 198 | 163 | 211 | 572 | 37190 | 177 | 210-20 | 14-33 | 1070-1980 | .540 | 11-12 | 591-671 | .881 | 4 | 209 | .882
5-13-93 | YRK-P | 27 | 28 | 28 | 176 | 184 | 176 | 536 | 37726 | 180 | 209-106 | 13-34 | 1083-2014 | .538 | 13-16 | 604-687 | .879 | 6 | 215 | .881
 |  |  |  |  | 12362 | 12749 | 12615 |  | - |  |  | 18.1-33.6 |  |  | 10.1-11.5 |  |  | 3.6 |  | 
 |  |  | (60) | (60) | 206 | 212 | 210 | 629 |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  | HIGH: | HIGH: | 289 | 268 | 267 | 731 |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  | LOW: | LOW: | 140 | 152 | 151 | 526 |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  | 
